ID,rodata,data,hora,mandante,visitante,mandante_Placar,visitante_Placar,ELO_Rating_mandante,ELO_Rating_visitante,Chutes_mandante,Chutes_visitante,Chutes_no_alvo_mandante,Chutes_no_alvo_visitante,Posse_mandante,Posse_visitante,Passes_mandante,Passes_visitante,Precisão_passes_mandante,Precisão_passes_visitante,Faltas_mandante,Faltas_visitante,Cartão_amarelo_mandante,Cartão_amarelo_visitante,Cartão_vermelho_mandante,Cartão_vermelho_visitante,Impedimentos_mandante,Impedimentos_visitante,Escanteios_mandante,Escanteios_visitante,Vencedor
5091,11,05/07/2015,15:59,Goias,Corinthians,0,0,"971,26","1193,14",6,14,1,7,38%,62%,382,605,80%,80%,12,12,2,2,0,0,3,1,5,7,Empate
5093,11,05/07/2015,16:02,Santos,Gremio,1,3,"1079,35","1128,2",7,17,2,5,41%,59%,462,654,80%,80%,13,12,3,1,1,0,0,2,1,2,Gremio
5092,11,05/07/2015,16:03,Sao Paulo,Fluminense,0,0,"1112,92","1011,41",14,7,6,0,60%,40%,492,333,80%,80%,18,16,1,2,0,0,3,2,7,4,Empate
5094,11,05/07/2015,18:28,Ponte Preta,Palmeiras,0,2,"1014,55","1009,8",19,9,2,3,53%,47%,506,464,80%,80%,12,22,3,3,0,0,1,1,1,5,Palmeiras
5095,11,05/07/2015,18:29,Flamengo,Figueirense,1,2,"1019,04","1001,41",12,9,3,5,62%,38%,549,346,80%,80%,9,20,3,2,0,0,4,3,8,5,Figueirense
5096,11,05/07/2015,18:31,Internacional,Atletico-MG,1,3,"1107,7","1118,91",11,19,4,8,46%,54%,452,537,80%,80%,5,11,1,3,1,0,5,0,6,4,Atletico-MG
5098,12,08/07/2015,19:29,Goias,Santos,4,1,"971,26","1079,35",14,8,11,2,41%,59%,374,546,80%,80%,7,8,0,3,0,0,1,1,7,5,Goias
5097,12,08/07/2015,19:32,Chapecoense,Gremio,1,0,"1011,92","1128,2",12,10,5,2,41%,59%,365,529,80%,80%,8,7,1,2,0,0,0,3,5,8,Chapecoense
5099,12,08/07/2015,19:32,Coritiba,Ponte Preta,0,0,"1027,83","1014,55",19,8,9,3,52%,48%,422,396,80%,80%,18,17,4,6,0,0,1,6,7,2,Empate
5101,12,08/07/2015,20:58,Palmeiras,Avai,3,0,"1009,8","976,72",18,12,7,1,57%,43%,430,329,80%,80%,12,11,2,6,0,0,2,1,11,2,Palmeiras
5100,12,08/07/2015,21:02,Figueirense,Joinville,0,2,"1001,41","947,02",13,11,3,3,52%,48%,337,325,80%,80%,11,21,1,2,0,0,2,0,7,10,Joinville
5102,12,08/07/2015,21:58,Atletico-MG,Sport,2,1,"1118,91","1081,34",12,10,6,2,54%,46%,462,404,80%,80%,17,12,2,2,0,0,7,0,9,5,Atletico-MG
5103,12,08/07/2015,21:59,Internacional,Flamengo,1,2,"1107,7","1019,04",9,8,2,5,60%,40%,563,385,80%,80%,17,19,3,2,0,0,2,5,3,2,Flamengo
5104,12,08/07/2015,22:00,Vasco,Sao Paulo,0,4,"1024,31","1112,92",14,10,6,6,48%,52%,475,507,80%,80%,12,10,3,0,0,0,0,4,8,2,Sao Paulo
5105,12,09/07/2015,19:29,Corinthians,Athletico-PR,2,0,"1193,14","1040,64",8,11,4,2,47%,53%,453,478,80%,80%,6,13,1,2,0,0,1,3,3,8,Corinthians
5106,12,09/07/2015,21:00,Fluminense,Cruzeiro,1,0,"1011,41","1120,94",15,8,6,2,39%,61%,297,454,80%,80%,10,15,2,2,0,0,5,1,6,5,Fluminense
5107,13,11/07/2015,18:29,Santos,Figueirense,3,0,"1079,35","1001,41",14,5,4,2,48%,52%,391,419,80%,80%,12,12,1,5,0,0,2,1,6,2,Santos
5108,13,11/07/2015,18:31,Gremio,Vasco,2,0,"1128,2","1024,31",21,7,4,2,62%,38%,590,372,80%,80%,16,12,1,3,0,0,0,0,6,3,Gremio
5109,13,11/07/2015,21:00,Ponte Preta,Atletico-MG,0,2,"1014,55","1118,91",11,13,4,6,44%,56%,406,503,80%,80%,13,19,1,3,0,0,2,0,4,4,Atletico-MG
