partida_id,rodata,clube,chutes,chutes_no_alvo,posse_de_bola,passes,precisao_passes,faltas,cartao_amarelo,cartao_vermelho,impedimentos,escanteios
5094,11,Ponte Preta,19,2,53%,506,80%,12,3,0,1,1
5094,11,Palmeiras,9,3,47%,464,80%,22,3,0,1,5
5095,11,Figueirense,9,5,38%,346,80%,20,2,0,3,5
5095,11,Flamengo,12,3,62%,549,80%,9,3,0,4,8
5096,11,Atletico-MG,19,8,54%,537,80%,11,3,0,0,4
5096,11,Internacional,11,4,46%,452,80%,5,1,1,5,6
5098,12,Goias,14,11,41%,374,80%,7,0,0,1,7
5098,12,Santos,8,2,59%,546,80%,8,3,0,1,5
5097,12,Chapecoense,12,5,41%,365,80%,8,1,0,0,5
5097,12,Gremio,10,2,59%,529,80%,7,2,0,3,8
5099,12,Ponte Preta,8,3,48%,396,80%,17,6,0,6,2
5099,12,Coritiba,19,9,52%,422,80%,18,4,0,1,7
5101,12,Palmeiras,18,7,57%,430,80%,12,2,0,2,11
5101,12,Avai,12,1,43%,329,80%,11,6,0,1,2
5100,12,Joinville,11,3,48%,325,80%,21,2,0,0,10
5100,12,Figueirense,13,3,52%,337,80%,11,1,0,2,7
5102,12,Sport,10,2,46%,404,80%,12,2,0,0,5
5102,12,Atletico-MG,12,6,54%,462,80%,17,2,0,7,9
5103,12,Internacional,9,2,60%,563,80%,17,3,0,2,3
5103,12,Flamengo,8,5,40%,385,80%,19,2,0,5,2
5104,12,Sao Paulo,10,6,52%,507,80%,10,0,0,4,2
5104,12,Vasco,14,6,48%,475,80%,12,3,0,0,8
5105,12,Corinthians,8,4,47%,453,80%,6,1,0,1,3
5105,12,Athletico-PR,11,2,53%,478,80%,13,2,0,3,8
5106,12,Cruzeiro,8,2,61%,454,80%,15,2,0,1,5
5106,12,Fluminense,15,6,39%,297,80%,10,2,0,5,6
5107,13,Figueirense,5,2,52%,419,80%,12,5,0,1,2
5107,13,Santos,14,4,48%,391,80%,12,1,0,2,6
5108,13,Vasco,7,2,38%,372,80%,12,3,0,0,3
5108,13,Gremio,21,4,62%,590,80%,16,1,0,0,6
5109,13,Atletico-MG,13,6,56%,503,80%,19,3,0,0,4
5109,13,Ponte Preta,11,4,44%,406,80%,13,1,0,2,4
5110,13,Sao Paulo,16,9,53%,447,80%,18,1,0,5,2
5110,13,Coritiba,10,2,47%,397,80%,14,3,0,3,10
5112,13,Flamengo,16,6,60%,535,80%,7,0,0,7,13
5112,13,Corinthians,8,4,40%,394,80%,15,2,0,1,1
5111,13,Joinville,8,2,63%,456,80%,17,4,0,4,6
5111,13,Internacional,7,3,37%,283,80%,19,3,0,3,2
5113,13,Athletico-PR,23,7,59%,456,80%,12,1,0,1,10
5113,13,Fluminense,9,6,41%,322,80%,11,2,0,2,2
5114,13,Goias,3,0,36%,315,80%,13,1,0,1,2
5114,13,Cruzeiro,22,7,64%,537,80%,17,2,0,0,11
5115,13,Palmeiras,12,5,41%,351,80%,17,1,0,3,4
5115,13,Sport,11,8,59%,506,80%,10,2,0,5,6
5116,13,Chapecoense,13,3,61%,433,80%,14,2,0,1,7
5116,13,Avai,14,7,39%,280,80%,15,4,0,4,6
5117,14,Internacional,8,3,63%,540,80%,18,1,0,1,6
5117,14,Goias,10,2,37%,315,80%,12,1,0,4,5
5118,14,Flamengo,21,7,39%,323,80%,12,1,0,1,7
5118,14,Gremio,6,1,61%,506,80%,11,5,0,1,4
5119,14,Corinthians,8,3,44%,392,80%,12,1,0,4,2
5119,14,Atletico-MG,16,7,56%,467,80%,15,1,0,2,6
5120,14,Chapecoense,10,2,44%,350,80%,13,3,0,4,1
5120,14,Athletico-PR,20,6,56%,439,80%,14,2,0,2,7
5121,14,Coritiba,12,3,59%,523,80%,18,2,0,0,2
5121,14,Figueirense,9,3,41%,356,80%,20,1,0,2,2
5123,14,Vasco,8,6,42%,287,80%,17,6,0,2,2
5123,14,Fluminense,16,4,58%,375,80%,15,2,0,0,9
5124,14,Palmeiras,9,4,44%,301,80%,24,3,0,3,2
5124,14,Santos,14,2,56%,374,80%,10,3,0,3,5
5122,14,Sport,15,6,46%,408,80%,9,1,0,4,2
5122,14,Sao Paulo,7,0,54%,468,80%,12,0,2,8,3
5125,14,Avai,9,3,33%,263,80%,16,3,0,0,3
5125,14,Cruzeiro,20,4,67%,554,80%,7,1,0,1,6
5126,14,Ponte Preta,8,1,46%,397,80%,14,5,0,1,2
5126,14,Joinville,21,5,54%,451,80%,11,2,0,1,8
5127,15,Avai,20,3,47%,362,80%,5,3,0,2,7
5127,15,Athletico-PR,18,7,53%,442,80%,17,3,0,1,2
5128,15,Gremio,17,6,57%,582,80%,6,0,0,7,13
5128,15,Sport,8,3,43%,462,80%,8,0,0,0,4
5129,15,Figueirense,8,4,38%,311,80%,19,4,0,3,9
5129,15,Atletico-MG,15,4,62%,508,80%,16,2,0,1,8
5131,15,Joinville,10,0,50%,482,80%,12,2,0,2,6
5131,15,Santos,13,6,50%,481,80%,4,2,0,7,7
5130,15,Fluminense,12,3,52%,373,80%,16,3,1,1,10
5130,15,Chapecoense,9,3,48%,372,80%,15,2,0,3,1
5132,15,Internacional,13,6,42%,315,80%,19,2,0,3,8
5132,15,Ponte Preta,21,10,58%,416,80%,10,2,0,1,13
5135,15,Goias,14,2,43%,330,80%,11,2,0,0,11
5135,15,Flamengo,8,2,57%,448,80%,6,1,0,1,4
5133,15,Corinthians,8,3,46%,405,80%,18,3,0,0,5
5133,15,Coritiba,11,3,54%,461,80%,7,3,0,10,5
5134,15,Sao Paulo,10,4,49%,428,80%,16,0,0,4,5
5134,15,Cruzeiro,11,1,51%,457,80%,14,1,0,0,2
5136,15,Vasco,8,2,56%,446,80%,14,3,0,8,8
5136,15,Palmeiras,18,7,44%,363,80%,21,1,0,5,4
5137,16,Vasco,11,2,40%,357,80%,15,3,0,9,4
5137,16,Corinthians,20,8,60%,552,80%,7,0,0,0,3
5138,16,Atletico-MG,14,9,49%,521,80%,6,0,0,2,3
5138,16,Sao Paulo,15,6,51%,550,80%,6,1,0,7,4
5139,16,Gremio,9,2,55%,484,80%,13,1,1,1,4
5139,16,Fluminense,12,4,45%,399,80%,16,3,0,3,4
5141,16,Palmeiras,16,3,51%,433,80%,13,1,0,2,5
5141,16,Athletico-PR,9,7,49%,442,80%,18,2,0,2,4
5140,16,Goias,14,4,39%,297,80%,19,4,0,1,7
5140,16,Coritiba,17,6,61%,459,80%,11,4,0,3,9
5142,16,Avai,8,5,49%,392,80%,9,1,0,0,4
5142,16,Joinville,3,3,51%,393,80%,22,2,0,2,10
5143,16,Internacional,11,3,64%,509,80%,4,3,0,2,11
5143,16,Chapecoense,11,2,36%,301,80%,13,2,0,3,7
5144,16,Figueirense,12,5,44%,303,80%,19,2,0,1,4
5144,16,Ponte Preta,19,4,56%,388,80%,18,3,0,1,5
5145,16,Santos,10,5,45%,395,80%,14,2,0,0,3
5145,16,Flamengo,26,7,55%,443,80%,17,4,0,2,9
5146,16,Sport,7,1,49%,457,80%,15,1,0,3,6
5146,16,Cruzeiro,11,4,51%,473,80%,17,2,0,5,6
5147,17,Avai,13,4,30%,221,80%,14,2,0,2,6
5147,17,Fluminense,13,2,70%,526,80%,12,2,0,3,9
5148,17,Coritiba,8,2,49%,447,80%,15,4,0,3,5
5148,17,Santos,12,4,51%,453,80%,12,1,0,1,5
5149,17,Sport,8,3,47%,491,80%,11,0,0,0,2
5149,17,Athletico-PR,16,6,53%,516,80%,6,0,0,4,7
5150,17,Joinville,15,3,40%,301,80%,21,4,0,3,9
5150,17,Vasco,20,5,60%,440,80%,17,2,0,2,9
5153,17,Flamengo,16,3,59%,457,80%,16,4,0,0,4
5153,17,Ponte Preta,10,3,41%,337,80%,17,2,0,0,3
5152,17,Cruzeiro,17,8,48%,415,80%,21,4,0,4,5
5152,17,Palmeiras,13,5,52%,446,80%,18,3,0,4,7
5154,17,Goias,13,4,37%,347,80%,8,2,0,3,2
5154,17,Atletico-MG,8,2,63%,568,80%,11,2,0,0,6
5151,17,Corinthians,10,3,41%,354,80%,16,1,1,4,5
5151,17,Sao Paulo,19,5,59%,503,80%,13,4,0,7,8
5155,17,Gremio,16,6,57%,553,80%,16,2,0,1,4
5155,17,Internacional,12,2,43%,417,80%,12,4,0,1,5
5156,17,Figueirense,10,5,51%,321,80%,13,1,0,2,7
5156,17,Chapecoense,8,2,49%,331,80%,20,1,0,0,5
5158,18,Flamengo,9,4,47%,390,80%,10,2,0,1,7
5158,18,Athletico-PR,9,6,53%,458,80%,16,3,1,1,4
5157,18,Coritiba,9,5,45%,402,80%,14,3,0,0,3
5157,18,Palmeiras,9,4,55%,475,80%,11,1,0,1,8
5159,18,Santos,21,7,52%,370,80%,12,3,0,8,6
5159,18,Vasco,8,1,48%,343,80%,22,4,1,0,6
5160,18,Chapecoense,2,0,45%,450,80%,16,3,0,0,1
5160,18,Goias,17,5,55%,507,80%,6,1,0,0,12
5161,18,Figueirense,15,4,52%,376,80%,18,3,0,1,6
5161,18,Sao Paulo,7,3,48%,356,80%,18,4,1,0,6
5162,18,Internacional,17,7,60%,465,80%,20,6,0,0,8
5162,18,Fluminense,8,1,40%,315,80%,14,3,2,0,8
5163,18,Sport,10,6,43%,391,80%,8,1,0,4,4
5163,18,Corinthians,15,7,57%,491,80%,11,2,0,2,9
5164,18,Ponte Preta,14,5,63%,539,80%,13,1,0,3,4
5164,18,Avai,4,1,37%,318,80%,6,1,0,1,1
5166,18,Atletico-MG,24,5,60%,563,80%,10,2,0,1,12
5166,18,Gremio,9,3,40%,413,80%,12,3,0,2,3
5165,18,Cruzeiro,8,2,67%,627,80%,10,2,0,3,9
5165,18,Joinville,14,7,33%,298,80%,10,1,0,0,8
5167,19,Coritiba,13,4,44%,323,80%,19,1,0,0,3
5167,19,Vasco,20,6,56%,389,80%,12,3,0,1,7
5168,19,Athletico-PR,13,3,63%,502,80%,10,1,1,2,11
5168,19,Santos,8,3,37%,307,80%,13,1,0,3,4
5169,19,Goias,14,8,34%,339,80%,4,0,0,1,8
5169,19,Sao Paulo,5,2,66%,636,80%,4,1,0,0,7
5170,19,Flamengo,21,8,62%,466,80%,15,2,0,4,6
5170,19,Palmeiras,12,4,38%,300,80%,18,2,0,0,3
5172,19,Fluminense,19,8,58%,442,80%,14,1,0,1,3
5172,19,Figueirense,5,1,42%,330,80%,18,1,1,1,2
5173,19,Cruzeiro,11,2,55%,476,80%,14,2,0,3,5
5173,19,Internacional,9,1,45%,391,80%,22,2,0,0,6
5174,19,Sport,11,3,47%,481,80%,7,0,0,1,3
5174,19,Ponte Preta,12,4,53%,542,80%,16,0,0,2,1
5171,19,Corinthians,10,4,64%,546,80%,8,1,0,1,0
5171,19,Avai,13,5,36%,282,80%,15,0,0,5,8
5175,19,Gremio,17,7,69%,619,80%,10,1,0,2,10
5175,19,Joinville,11,2,31%,282,80%,18,0,0,1,4
5176,19,Atletico-MG,12,3,64%,538,80%,8,3,1,2,7
5176,19,Chapecoense,13,5,36%,313,80%,12,4,0,1,3
5177,20,Vasco,5,2,49%,407,80%,13,2,2,4,2
5177,20,Goias,13,6,51%,406,80%,16,3,0,2,4
5178,20,Santos,17,9,59%,538,80%,14,1,0,1,7
5178,20,Avai,16,3,41%,364,80%,12,3,0,1,2
5179,20,Figueirense,9,5,41%,284,80%,19,1,0,8,8
5179,20,Sport,10,4,59%,429,80%,13,3,0,1,6
5180,20,Coritiba,9,3,46%,374,80%,19,3,0,0,5
5180,20,Chapecoense,11,4,54%,447,80%,17,3,0,2,0
5181,20,Ponte Preta,25,9,58%,587,80%,12,1,0,3,6
5181,20,Gremio,3,0,42%,437,80%,13,1,0,1,1
5182,20,Fluminense,20,8,54%,379,80%,15,2,0,5,4
5182,20,Joinville,11,4,46%,320,80%,26,3,0,3,3
5183,20,Athletico-PR,8,3,53%,491,80%,12,3,0,2,0
5183,20,Internacional,15,7,47%,430,80%,10,1,0,0,8
5184,20,Corinthians,16,6,39%,387,80%,12,2,0,0,3
5184,20,Cruzeiro,12,2,61%,590,80%,7,1,0,6,6
5185,20,Flamengo,22,8,44%,277,80%,25,4,0,2,10
5185,20,Sao Paulo,9,3,56%,364,80%,15,2,0,2,5
5186,20,Atletico-MG,18,2,56%,472,80%,13,1,0,5,7
5186,20,Palmeiras,11,4,44%,386,80%,12,3,0,2,2
5187,21,Figueirense,12,2,38%,313,80%,19,4,0,0,1
5187,21,Vasco,17,5,62%,490,80%,11,2,0,3,7
5188,21,Sao Paulo,16,8,47%,496,80%,16,4,0,2,3
5188,21,Ponte Preta,20,9,53%,551,80%,11,0,0,1,7
5189,21,Gremio,12,2,49%,385,80%,13,5,0,2,7
5189,21,Coritiba,11,5,51%,399,80%,15,5,0,1,6
5190,21,Avai,14,4,36%,290,80%,14,2,0,2,5
5190,21,Internacional,14,4,64%,516,80%,12,2,0,1,8
5191,21,Joinville,8,4,43%,360,80%,18,3,0,1,1
5191,21,Palmeiras,15,6,57%,465,80%,9,0,0,3,3
5192,21,Fluminense,12,2,43%,372,80%,23,3,0,0,0
5192,21,Atletico-MG,13,5,57%,484,80%,16,4,0,0,6
5193,21,Sport,12,2,38%,351,80%,6,1,1,3,4
5193,21,Flamengo,12,4,62%,575,80%,19,5,0,2,6
5194,21,Corinthians,15,7,52%,429,80%,11,3,0,1,5
5194,21,Chapecoense,12,6,48%,388,80%,14,2,0,4,7
5195,21,Cruzeiro,14,3,53%,505,80%,17,2,1,1,4
